Number          RA(User)          DEC(User)         GOOD       SIG-MONO     Flux-tot       Error           Grd-axe        Pt-axe        Angle      Mass      Err-Mass     alpha_vir
1            290.9168748        14.5181787          9.99        428.6       1.94e+00      1.36e-02         7.06e-01       6.51e-01     1.01e+02    974.35     6.83          0.0002
2            290.9107282        14.5116014          9.99        194.9       1.81e-01      1.22e-03         7.03e-01       5.99e-01     1.51e+02    90.71      0.61          0.0021
3            290.9244326        14.5157551          9.99        114.0       2.75e-02      4.67e-04         5.14e-01       5.14e-01     1.69e+02    13.8       0.23          0.0111
4            290.9164747        14.5181627          9.99        122.9       6.32e-01      1.21e-02         6.25e-01       6.25e-01     9.69e+01    317.47     6.08          0.0006
5            290.9091502        14.5185939          9.99        137.1       5.86e-02      5.00e-04         7.27e-01       6.11e-01     1.54e+02    29.43      0.25          0.0066
6            290.911193         14.5126613          9.99        105.8       3.12e-02      1.08e-03         5.90e-01       5.90e-01     2.04e+01    15.64      0.54          0.0113
7            290.9159393        14.518088           9.99        139.5       5.71e-01      1.18e-02         8.12e-01       6.71e-01     4.71e+01    286.68     5.95          0.0007
8            290.9156072        14.5181301          9.99        103.1       3.55e-01      8.87e-03         7.64e-01       6.47e-01     4.87e+01    178.3      4.45          0.0011
9            290.9091948        14.5092092          6.87        68.73       2.33e-02      9.48e-04         6.16e-01       5.87e-01     1.72e+00    11.73      0.48          0.0152
10           290.9242803        14.5152353          5.01        50.12       2.51e-02      8.88e-04         6.32e-01       6.18e-01     1.75e+02    12.61      0.45          0.0148
11           290.9255704        14.5112736          5.11        51.13       2.17e-02      1.80e-03         5.88e-01       5.66e-01     5.04e+00    10.92      0.9           0.0157
12           290.9146538        14.5176002          5.12        51.23       3.32e-02      4.32e-03         6.71e-01       6.11e-01     1.04e+02    16.67      2.17          0.0113
13           290.9187824        14.517741           8.51        85.11       5.33e-02      1.98e-03         8.37e-01       6.32e-01     1.39e+02    26.76      1.0           0.0078
14           290.9103695        14.5113187          5.52        55.16       3.94e-02      7.41e-04         6.51e-01       6.12e-01     1.48e+02    19.8       0.37          0.0094
15           290.9166538        14.5182982          3.01        30.08       4.87e-01      1.02e-02         6.79e-01       6.62e-01     1.50e+02    244.39     5.11          0.0008
16           290.9259034        14.515084           4.14        41.36       1.97e-02      1.48e-03         5.70e-01       5.70e-01     4.95e+01    9.9        0.74          0.0172
17           290.9100392        14.510206           9.26        92.59       4.90e-02      2.00e-03         1.13e+00       8.47e-01     4.21e+01    24.58      1.0           0.0113
18           290.9243242        14.5147605          4.69        46.86       3.19e-02      1.73e-03         8.68e-01       5.91e-01     1.84e+00    16.0       0.87          0.0126
19           290.9262363        14.5153542          3.79        37.93       2.23e-02      1.27e-03         5.93e-01       5.93e-01     1.90e+01    11.23      0.64          0.0158
20           290.9247219        14.5084575          3.37        33.73       8.18e-03      1.31e-03         5.27e-01       5.27e-01     1.29e+02    4.11       0.66          0.0384
21           290.9243595        14.5150079          9.99        119.0       6.80e-02      2.90e-03         1.01e+00       8.32e-01     1.28e+02    34.13      1.46          0.0078
22           290.9117779        14.5112169          3.41        34.1        1.17e-02      1.23e-03         5.47e-01       5.47e-01     1.80e+02    5.9        0.62          0.0277
23           290.9085805        14.518247           3.81        38.11       1.12e-02      3.80e-04         5.69e-01       5.69e-01     1.63e+02    5.61       0.19          0.0303
24           290.9137086        14.5170718          3.37        33.72       1.16e-02      1.30e-03         6.18e-01       5.86e-01     2.90e+01    5.82       0.66          0.0307
25           290.9069646        14.5064864          3.54        35.43       3.17e-02      1.62e-03         7.86e-01       5.93e-01     5.39e+01    15.92      0.81          0.0122
26           290.9249262        14.5195848          2.77        27.68       1.03e-02      4.77e-04         5.16e-01       5.16e-01     1.51e+02    5.15       0.24          0.03  
27           290.911703         14.5107335          2.43        24.28       9.38e-03      1.30e-03         6.55e-01       5.27e-01     1.20e+02    4.71       0.65          0.036 
28           290.9122453        14.5098696          2.51        25.06       5.32e-03      4.37e-04         5.43e-01       5.43e-01     1.75e+02    2.67       0.22          0.0608
29           290.9235122        14.5171612          4.58        45.83       2.16e-02      1.57e-03         9.30e-01       6.86e-01     1.65e+02    10.83      0.79          0.0209
30           290.9231346        14.5194112          2.56        25.57       7.58e-03      7.63e-04         5.75e-01       5.75e-01     1.75e+02    3.81       0.38          0.0452
31           290.9180727        14.5179648          3.29        32.86       3.78e-02      3.73e-03         8.54e-01       6.96e-01     1.11e+02    18.99      1.87          0.0117
32           290.9114297        14.5132333          3.05        30.46       9.27e-03      8.01e-04         6.67e-01       6.36e-01     1.30e+01    4.65       0.4           0.0415
33           290.9060039        14.5052417          2.99        29.85       4.34e-02      1.36e-03         7.20e-01       6.30e-01     1.68e+02    21.78      0.69          0.009 
34           290.9111282        14.5111033          2.43        24.28       1.07e-02      1.39e-03         7.31e-01       5.46e-01     9.99e+01    5.36       0.7           0.0335
35           290.9114582        14.5186803          3.75        37.46       1.67e-02      7.97e-04         1.08e+00       6.50e-01     3.31e+01    8.4        0.4           0.0274
36           290.9149155        14.5178224          2.33        23.25       3.48e-02      4.33e-03         9.00e-01       7.52e-01     5.89e+01    17.48      2.18          0.0137
37           290.9207895        14.5116986          2.62        26.2        5.66e-03      3.45e-04         6.84e-01       6.34e-01     1.53e+02    2.84       0.17          0.0684
38           290.9234215        14.5187168          2.09        20.95       1.21e-02      1.01e-03         8.63e-01       5.88e-01     1.30e+02    6.1        0.51          0.0327
39           290.916424         14.5189576          7.16        71.62       3.65e-01      1.71e-02         1.66e+00       1.07e+00     1.21e+01    183.37     8.61          0.002 
40           290.9246           14.5197824          4.37        43.73       3.50e-02      7.90e-04         1.08e+00       8.10e-01     2.78e+01    17.58      0.4           0.0152
41           290.9083389        14.5082707          1.86        18.62       1.38e-02      8.68e-04         1.14e+00       6.70e-01     3.96e+01    6.94       0.44          0.0345
42           290.9111371        14.519011           1.79        17.9        5.71e-03      5.54e-04         5.60e-01       5.46e-01     9.40e+01    2.87       0.28          0.0575
43           290.9218422        14.5211226          3.33        33.34       9.43e-03      3.92e-04         1.00e+00       6.49e-01     1.04e+02    4.73       0.2           0.0473
44           290.9208963        14.509555           1.91        19.06       4.70e-03      2.99e-04         5.93e-01       5.93e-01     7.24e+01    2.36       0.15          0.075 
45           290.9173266        14.5176025          1.74        17.45       8.33e-03      2.25e-03         5.68e-01       5.68e-01     1.69e+02    4.18       1.13          0.0406
46           290.9168106        14.5146479          2.25        22.48       6.61e-03      3.66e-04         6.77e-01       6.13e-01     4.08e+01    3.32       0.18          0.0571
47           290.9074107        14.506939           1.52        15.19       1.07e-02      1.39e-03         7.56e-01       5.61e-01     3.34e+01    5.36       0.7           0.0346
48           290.9085844        14.508742           1.92        19.19       8.37e-03      5.51e-04         8.02e-01       6.00e-01     2.02e+01    4.2        0.28          0.047 
49           290.9114419        14.512703           1.59        15.94       9.87e-03      8.15e-04         7.68e-01       6.50e-01     1.50e+02    4.96       0.41          0.0414
50           290.9130105        14.5183395          2.73        27.33       2.07e-02      1.01e-03         1.09e+00       7.95e-01     1.50e+02    10.42      0.51          0.0254
51           290.9205495        14.5187825          1.59        15.91       2.59e-03      2.55e-04         5.01e-01       5.01e-01     1.59e+02    1.3        0.13          0.1154
52           290.9249666        14.5107862          2.0         20.05       1.47e-02      2.95e-03         8.61e-01       6.83e-01     3.67e+00    7.41       1.48          0.0298
53           290.9118031        14.5117332          2.83        28.29       2.95e-02      1.90e-03         1.58e+00       9.08e-01     4.99e+01    14.82      0.95          0.022 
54           290.917637         14.5213181          2.93        29.34       1.79e-02      1.49e-03         1.04e+00       8.59e-01     2.54e+01    8.98       0.75          0.0305
55           290.9121736        14.511578           1.51        15.08       3.57e-03      1.01e-03         5.34e-01       5.34e-01     4.01e+01    1.79       0.51          0.089 
56           290.9174554        14.5187622          3.11        31.12       9.89e-02      8.56e-03         1.81e+00       1.15e+00     1.74e+02    49.66      4.3           0.008 
57           290.9100527        14.5196865          1.64        16.4        5.50e-03      3.87e-04         6.81e-01       5.28e-01     1.16e+02    2.76       0.19          0.0623
58           290.9075254        14.5073556          1.47        14.73       7.86e-03      1.04e-03         6.37e-01       5.63e-01     5.23e+00    3.95       0.52          0.0444
59           290.9121475        14.5137446          1.59        15.95       6.58e-03      7.50e-04         9.30e-01       6.02e-01     1.51e+02    3.31       0.38          0.0629
