Number          RA(User)          DEC(User)         GOOD       SIG-MONO     Flux-tot       Error           Grd-axe        Pt-axe        Angle      Mass      Err-Mass     alpha_vir
1            290.9329071        14.5078382          9.99        1341.0      1.37e+00      9.01e-03         8.37e-01       5.26e-01     5.95e+00    690.08     4.53          0.0003
2            290.9331873        14.509588           9.99        888.0       2.04e+00      1.27e-02         7.28e-01       6.12e-01     5.78e-01    1026.59     6.36          0.0002
3            290.9329538        14.5095914          9.99        405.1       7.57e-01      8.73e-03         5.92e-01       4.53e-01     4.55e+00    380.0      4.39          0.0004
4            290.9328126        14.5099864          9.99        230.0       3.75e-01      1.04e-02         5.64e-01       5.27e-01     1.04e+02    188.54     5.21          0.0009
5            290.9327562        14.5073724          9.99        181.1       4.16e-01      1.07e-02         1.09e+00       5.57e-01     2.62e+01    208.93     5.39          0.001 
6            290.9322463        14.5059316          9.99        106.4       4.39e-02      5.69e-03         4.55e-01       4.21e-01     5.01e+01    22.06      2.86          0.0059
7            290.9324401        14.5062071          9.99        150.8       1.32e-01      4.69e-03         7.19e-01       5.36e-01     6.87e+01    66.45      2.36          0.0027
8            290.9324501        14.5054733          9.99        101.0       4.88e-02      4.93e-03         6.35e-01       4.32e-01     5.80e+01    24.52      2.48          0.006 
9            290.9327182        14.511218           8.02        80.19       2.18e-02      8.09e-04         4.17e-01       3.85e-01     2.04e+01    10.95      0.41          0.0108
10           290.9325957        14.506495           8.91        89.09       9.75e-02      7.85e-03         7.29e-01       4.87e-01     8.22e+00    48.99      3.94          0.0034
11           290.9334756        14.5075374          4.51        45.11       3.09e-02      4.08e-03         4.95e-01       4.33e-01     3.43e+01    15.5       2.05          0.0087
12           290.9330429        14.5101591          9.99        111.8       3.36e-01      9.74e-03         1.07e+00       7.17e-01     1.72e+02    168.85     4.89          0.0015
13           290.9319921        14.508945           6.79        67.91       2.53e-02      1.65e-03         5.73e-01       4.52e-01     6.62e+01    12.73      0.83          0.0115
14           290.9255676        14.5112553          6.61        66.09       1.26e-02      5.12e-04         5.60e-01       4.02e-01     1.41e+01    6.33       0.26          0.0212
15           290.9332882        14.5091422          8.03        80.27       1.73e-01      1.07e-02         8.35e-01       6.69e-01     6.00e+01    86.79      5.39          0.0025
16           290.933406         14.5070436          4.85        48.45       8.08e-02      5.41e-03         9.49e-01       5.42e-01     1.42e+02    40.6       2.72          0.0048
17           290.9315049        14.5099229          6.5         64.98       2.25e-02      2.18e-03         7.44e-01       6.20e-01     6.06e+00    11.3       1.09          0.0174
18           290.9325704        14.5101538          7.82        78.21       1.55e-01      1.01e-02         8.87e-01       7.13e-01     1.03e+02    77.9       5.09          0.0029
